187 21:18  1:30 -
120 20:31  1:33 -
186 20:36  1:08 -
190 19:39  1:04 -
149 20:02  0:57 -
 22 19:10  0:31 -
150 20:51  0:55 -
 17 19:00  0:18 -
 55 19:35  0:59 -
 74 19:17  1:00 -
 92 19:52  2:47 -
 73 19:11  0:38 -
 44 19:01  0:51 -
 45 19:02  0:51 -
101 19:17  0:59 -
 84 19:24  0:58 -
 82 19:25  0:56 -
  7 19:03  1:04 -
115 19:26  0:56 7
 35 20:08  2:37 -
 28 19:04  0:20 -
 75 19:28  0:55 7
 13 19:12  0:20 -
 98 19:27  0:59 7
 90 19:53  2:19 5
 78 19:30  1:31 -
106 20:38  3:39 -
 34 19:09  0:56 -
127 20:23  3:34 -
 87 19:45  4:33 -
 91 20:05  4:25 -
172 20:27  2:32 7
 33 19:18  2:28 -
142 19:57  3:33 -
 31 20:04  2:43 -
 85 19:59  4:03 -
 96 19:21  1:58 -
 15 19:58  4:02 -
 23 19:20  2:59 -
182 21:28  4:43 13
163 20:33  4:51 -
166 21:41  4:43 13
  9 19:08  1:37 10,11
122 19:38  4:22 -
134 20:35  4:38 7
 46 20:51  4:45 8
104 20:52  5:37 11
 26 19:19  4:23 -
111 19:48  0:52 8,10,11
 61 20:06  5:01 -
 83 19:56 23:29 8,10,11,12
109 20:11  4:24 13
167 24:00  5:10 5,6,7,8
130 19:22  5:22 5,13
126 20:30  3:21 10,11
 32 19:31  5:19 8
143 21:55  6:52 8
 99 21:32  2:51 5,10,11,12
 72 20:32  0:37 8,10,11,12,13
129 21:47  2:07 8,10,11
 21 20:14  1:15 8,10,11,12
 81 22:25  1:51 5,6,7,8,10,11,12
165 20:21 23:24 5,6,7,8,10,11,12,13
157 19:33  0:35 5,7,8,10,11
 10 19:05  0:29 5,6,7,12
 29 20:28  1:35 -
179 22:00  1:10 5,6,7,8,10,11,12,13
 76 21:27  4:51 -
 60 21:31  4:52 -
  8 20:29  5:26 5
154 22:21  3:12 5,7,8,10,11,12,13
191 22:27  8:19 5,8,10,13
141 22:10  3:17 8,10,11
108 21:43  9:07 -
100 21:30  2:59 5,7,8,10,11,12
116 22:05  3:19 8,10,11,12
 77 23:42 10:01 10,11
 18 21:00  3:49 5,7,10,11,13
 47 19:49  1:00 -
102 20:37  3:39 -
 58 19:32  0:46 -
 24 19:13  1:12 7,13
 30 21:02  2:15 10,11
156 20:19  5:34 5
 16 19:54  6:29 -
151 21:57  1:56 8,10,11,12
 11 19:07  0:32 5,6,7,12
 42 19:50 22:42 8,10,11,12,13
 14 19:29  2:45 5,7,8
  2 19:15  1:46 10,11,12,13
169 21:46  5:33 10,12,13
  6 20:41  0:43 7,8,10,11,12
168 23:15  8:38 7,8
 86 21:37  7:07 11,12
146 22:40  9:37 8
133 22:46 23:22 5,6,7,8,10,11,12,13
113 22:47 23:20 5,6,7,8,10,11,12,13
 50 21:52  3:25 8,10,11,12,13
 49 21:51  3:25 8,10,11,12,13
 48 21:50  3:25 8,10,11,12,13
125 23:32  4:17 7,8,10,11,12,13
118 23:24  7:30 8,10,11,12
119 23:25  7:41 8,10,11,12
117 23:23  7:41 8,10,11,12
137 23:41  2:04 5,6,7,8,10,11,12,13              
