187 11:00 13:49 -
120 10:59 14:08 -
186 10:10 13:33 -
190  9:28 14:43 S
149 10:36 14:40 -
 22  8:25 11:55 -
150  9:51 14:08 -
 17  9:02 12:58 -
 55  9:53 13:37 -
 74  9:30 13:24 -
 92 10:32 13:32 -
 73  9:45 13:33 -
 44 10:52 14:40 -
 45 10:52 14:40 -
101  9:30 13:24 -
 84  9:40 13:59 -
 82  9:23 13:24 -
  7  9:55 13:53 -
115  9:14 12:58 -
 35 10:00 13:33 -
 28  9:04 14:14 -
 75  9:18 12:59 -
 13  9:01 13:32 -
 98  9:18 12:58 -
 90 10:31 13:38 -
 78  9:22 14:10 -
106 10:44 14:39 -
 34 10:47 16:01 -
127 10:17 14:49 -
 87  9:29 14:46 S
 91 10:31 14:28 -
172 10:01 14:07 -
 33  9:29 14:16 -
142  9:50 14:53 -
 31 10:08 15:04 -
 85 10:15 14:35 -
 96 10:56 17:05 -
 15 10:15 14:54 -
 23  8:03 13:25 -
182 10:03 14:06 -
163 10:55 16:02 -
166 10:51 15:36 -
  9  9:45 15:17 S
122 10:14 15:47 -
134 10:31 15:43 S
 46 10:59 16:35 -
104 10:26 14:52 -
 26  9:55 15:22 -
111 10:01 14:28 -
 61 10:43 16:44 -
 83 11:00 15:27 -
109 10:53 16:38 -
167 10:58 14:14 -
130  9:26 13:42 -
126 10:43 16:22 -
  1 10:03 13:33 -
139 10:52 14:41 -
 32  9:42 15:44 -
143 10:25 15:24 -
 99 10:50 15:54 -
  3  9:03 13:26 -
 36 10:58 16:02 -
 72 10:21 15:47 -
 71 10:57 15:47 -
 64 10:57 15:47 -
 63 10:57 15:47 -
 62 10:57 15:47 -
129 10:29 17:17 -
185  9:39 13:24 -
 88  9:52 14:19 20
 21 10:44 16:57 -
103  9:51 14:45 -
 37 10:30 16:33 -
184 10:48 16:01 -
162 10:16 15:03 -
 81 10:59 16:00 -
165 10:19 14:29 -
157 10:39 15:03 14
 10  9:00 13:29 15,16
164 10:52 17:31 -
145 10:56 16:39 - 
 29 10:58 17:20 17,18,19,20
179  8:58 13:59 -
  5  9:25 15:14 -
 76 10:58 15:03 15,16,17,18,19,20
 60 10:58 15:04 15,16,17,18,19,20
 39 10:52 17:31 -
  8 10:59 16:35 18,19,20
154 10:58 16:17 -
 41 10:11 15:37 -
191  8:55 15:43 14
128 10:25 15:49 17,18,19
141 10:15 17:04 17,18,19,20
108 10:56 17:09 15,18,19,20
100 10:46 16:24 19
116 10:15 17:05 17,18,19,20
 77 10:58 15:05 15,16,17,18,19,20
 18  9:55 17:36 14,17,18
188  9:53 14:51 15,16,17,18,19,20
 47 10:28 14:27 19,20     su
102 10:43 15:25 20        ra
 59 10:07 16:02 18,19,20  su     
189 - - - ve




















