# первый этап
# n t1s    t1f   kp1        pr1

10  17:39  00:05
11  17:40  01:00
1   17:29  02:33
14  17:43  02:33
16  17:45  04:45
29  18:15  07:42 3,9
7   17:35  04:55 4,6,9
2   17:31  09:22 6
8   17:36  00:05 3,7,9
28  17:57  02:26 9
22  17:50  02:26 9
15  17:44  07:06 4,6,9
18  17:47      - 5,6,7,8,9
3   18:15      - 
4   17:32      -          
5   18:15      -          
9   17:38      -          
12  17:41  10:40 2,6            kv 
13  17:42      - 3,7,8,9
19  17:48      -          
20  17:49      -          
23  17:51      -          
24  17:52      -          
25  17:53      - 3,4,5,6,7,8,9
26  17:55      -          
27  17:56      -          
30  17:59      -          
33  18:00      -          
34  18:01      -          
35  18:02      -          
