397 b 2 11:44
346 b 1 11:44
404 a 1 12:07
377 b 2 12:46
408 b 1 13:18
393 b 2 13:18 - su
67  b 1 13:32
383 b 1 13:32
58  b 1 13:32
118 a 1 13:35
119 a 1 13:35
321 b 1 13:45
17  b 1 13:45
51  b 1 13:45
425 a 2 13:52
29  b 1 13:57
27  b 2 13:58
279 b 1 14:19
89  b 1 14:21
90  b 1 14:21
350 b 2 14:36
296 a 3 14:38
280 a 1 14:47
130 a 1 14:47
126 b 1 15:04
48  b 1 15:11 11,12
180 a 2 15:34
6   b 2 15:48
282 b 2 16:06
429 b 1 16:12
136 b 2 16:15
372 a 1 16:34
292 a 2 16:41
55  b 1 16:49
77  b 1 17:11
92  a 3 17:14
19  a 2 17:15
400 a 1 17:20
76  a 1 17:20
105 a 1 17:35
345 a 1 17:37
343 a 3 17:38
32  b 1 17:41
399 b 1 17:41
307 b 1 17:41
42  b 2 17:44
196 a 1 17:44
134 a 1 17:44
291 a 5 17:48
99  a 3 17:48

364 a 1 17:50
288 b 1 17:50
116 a 2 17:57
363 a 2 17:57
326 a 2 17:57
293 b 1 18:02
276 a 1 18:09
277 a 1 18:09
421 b 1 18:11
337 a 2 18:18
238 a 2 18:19
70  b 1 18:35
281 b 1 18:38
395 b 1 18:38
45  a 4 18:43
46  b 1 18:52
354 a 2 19:00
151 b 1 19:10
287 a 4 19:28
373 b 1 19:34 11,12
333 a 2 19:35
433 a 1 19:36
204 a 6 19:49
300 a 2 19:50
57  b 1 19:53
329 b 1 20:10
284 a 2 20:11
163 a 1 20:25
223 a 1 20:26
103 b 1 20:27
394 b 1 20:27
20  a 1 20:34
252 b 2 20:38 12
127 b 1 20:53
241 b 3 20:55
160 b 2 20:58
362 a 2 21:10
165 a 3 21:10
325 a 1 21:12
216 b 2 21:12
80  b 1 21:14 
98  b 2 21:15 12
260 b 1 21:15
221 b 2 21:15
390 b 1 21:29
200 b 1 21:29
36  b 1 21:31 12
320 b 1 21:32
230 b 1 21:32
311 a 2 21:35

69  b 2 21:35
419 a 1 21:40
38  a 1 21:40
37  b 1 21:41
74  b 2 21:43 12
5   a 2 21:43
417 a 1 21:49
147 b 1 21:49 12
49  a 3 21:49
143 a 2 21:49
258 a 1 21:52
401 b 1 21:52
266 b 1 21:59 
270 b 1 21:59 
349 b 1 22:09
39  b 4 22:12
316 b 1 22:13
220 a 1 22:15 10
247 a 1 22:15 10
283 a 1 22:15 
14  b 2 22:25 12
141 a 2 22:36
294 b 1 22:36 11,12
7   b 1 22:37 12
150 a 1 22:41
149 a 3 22:42
335 b 1 22:43
28  b 1 22:43
222 a 2 22:44
68  a 2 22:45
264 a 1 22:45
250 b 1 22:49
381 b 2 22:49 
168 a 1 22:58
133 a 1 22:59
371 b 1 23:05
120 b 1 23:09
427 b 1 23:12 12
254 b 1 23:14 12
24  b 1 23:14 12
84  b 1 23:14 12
52  b 1 23:15 12
237 b 1 23:21 12 su
334 a 2 23:33
253 a 2 23:33
413 a 1 23:34
268 a 1 00:26
269 a 1 00:26
114 a 1 00:26
113 a 1 00:26

355 a 1 00:26 
148 a 2 01:27 9
86  a 1 01:14 9,10
289 b 3 01:14 11,12
360 b 1 01:14 12
379 b 1 01:14 12
359 b 1 01:14 12
81  a 1 01:14 10
242 a 1 01:14 9,10
189 b 2 01:22 12
357 b 2 01:35 12
95  b 1 01:35 12
72  b 1 01:35 12
102 b 1 01:35 12
322 b 2 01:36 11,12
131 b 1 01:36 12
73  b 1 01:36 12
338 b 1 01:38 12
340 b 1 01:38 12
4   b 1 01:38 
187 a 2 01:42 9,10
26  b 1 01:51 12
179 b 2 01:54 12
297 b 1 02:41 12
382 b 1 02:47 12
121 b 4 02:47 12
330 b 1 02:53 11,12
232 b 1 03:03 11,12
272 b 1 03:03 11,12
166 a 1 03:21 
1   a 2 03:21 
167 a 1 03:21 
101 a 4 03:30 
100 a 2 03:31
403 a 2 04:25 9,10
306 a 3 05:49 9,10
138 b 3 06:59 11,12
153 b 1 06:59 12
185 b 2 07:01 12
256 b 1 07:01 12
2   b 2 07:04 11,12
405 b 1 07:28 12
406 b 1 07:28 12
255 a 1 07:48 10
97  a 1 07:56 10 
