1    -  3,7,8,9,10,11  
2 17:31    -   
3    -  8  
4    -     -   
6 15:13    -   
7    -  4  
10    -  3,8  
11 15:38 4,16,17,18,19  
12    -  2,3,4,7,8,9,10,11   su
14 18:48 10,16,19  
16    -     -   
19    -     -   
20    -  1,2,3  
21    -  3,4  
22 18:36 16,17,18,19,20  
23    -     -   
24    -     -   
25 17:32 9,16,17  
26 17:32 9,16,17  
27 17:33 9,16,17  
28 13:30    -   
30 16:43    -   
32    -     -   
33    -  2,3,7,8,9,11  
34 17:55    -   
35 16:39    -   
36    -     -   
37    -  3,7,8,9  
38 18:02    -   
40    -     -   
41 17:33    -   
42 15:12 3,10  
43 15:12 3,10  
49    -     -   
52 14:04    -   
54    -  3  
63    -  11  
64    -  1  
65    -     -   
66    -     -   
67 17:23    -   
69    -     -   
70 18:40 17,20  
71    -     -   
72    -     -   
74    -     -   
77    -  4  
78    -     -   
79 18:08 13,15,16,17,18,19,20  
80    -  1,7,8,9   
81 13:07    -   
82 13:07    -   
84    -  2,4  
85    -     -   
87    -  9   
89    -     -   
91    -  11  
92    -  11  
93    -     -   
94    -     -   
95    -  4   
97 18:24 9,17  
99    -     -   
100    -  8  
101 18:47 3,9,13,15,16,17,18,19,20  
102    -  3,4  
104    -  3  
107    -  9,10,11  
108    -  5,7,8,9  
109 14:49    -   
110    -  9,10   su
111    -  9   
112    -  3  
114    -  9   
115 17:39    -   
116 18:25 9,15,16,17,18,19,20   su
117    -     -   
118    -  4  
119 17:38 13,15,16,17,18,19  
120 18:41 3,10,13,15,16,17,20  
121    -  1  
122    -  4,9   
123 18:24 9,17,20  
124    -  3,8,9,10,11  
125 17:01    -   
127    -     -   
128    -     -   
130    -  2,3  
131    -  1,2,3,7,8,9  
133    -  9   
134    -  2,3   
136    -  4  
137 18:27 5,6,7,8,9,10,11,13,16,17  
138    -  3,7,9  
139    -  1  
141 19:05 10,16,19,20   kv,su
142    -  9  
143 18:27 11,13,15,16,17,18   su
144 16:23 17,18,19  
145 18:52 15,16  
146    -  3   
148 18:39 4,15,16,17  
149    -  3  
150    -     -   
151    -  4,8,9  
152    -     -   
153    -     -   
154    -     -   
156    -     -   
157    -     -   
158    -  7,8,9  
160    -     -   
162    -  9   
163 17:40 4  
164    -  3,7,9,11  
165    -  9  
167 16:16    -   
168    -     -   
169 19:02 9,16,19,20   kv
170    -  11  kv
171    -  10  
172    -     -   
173    -     -   
174 15:00    -   
175    -  9  
176    -     -   
177    -  3,9  
178    -  9   
179    -     -   
181 17:55 13,16,17,18,19  
182    -     -   
183    -  1  
185    -     -   
186 14:04 4  
188 18:04    -   
189 13:47    -   
190    -  4   
191    -     -   
192    -  1,2,3  
193    -     -   
194 17:53 15,16,17,18,19  
195    -  3  
196 18:40 13,15,16,17,18,19,20  
197    -  4  
198    -  9   
199    -     -   
201 18:40 10,13,17,18,19,20  
204 16:23    -   
205    -     -   
206    -     -   
207    -  3,9  
209    -     -   
210    -     -   
211    -  3,10  
213    -     -   
214 18:55 16,17,18,19  
215 14:17    -   
220    -     -   
221    -  2   
222 18:04 7,8,9,10,11,14,15,16,17,18,19  
223 15:17 9,10  
225    -     -   
227    -     -   
228 15:23    -   
