1 8:41 15:44 22:22
2 6:05 14:23 19:55
3 6:05 19:32    - 
4 6:05 22:43    - 
6 8:13 14:18 17:59
7 13:20    -     - 
10 7:55 18:57    - 
11 7:57 15:25 20:43
12 3:10 19:43 0:17
14 5:16 17:32 22:11
16 2:18 9:21 14:36
19 3:07 12:28 17:58
20 18:21    -     - 
21 9:19    -     - 
22 8:09    -  1:26
23 10:56 6:12    - 
24 14:10 22:37    - 
25 7:34 16:11 21:37
26 7:34 16:13 21:31
27 7:34 16:13 21:37
28 2:35 8:57 13:13
30 4:59 12:10 16:20
32 1:48 10:49 16:14
33 5:05 20:28 1:09
34    -  14:21 19:55
35 3:31 10:58 14:31
36 1:18 8:02 11:43
37 5:05 20:28 4:56
38 9:10 17:57 23:28
40 7:34    -     - 
41 8:08 16:08 20:04
42 4:04 14:18 20:08
43 4:04 14:18 20:08
49 6:15    -     - 
52 2:18 9:18 12:57
54 6:49 23:27    - 
63 11:23 21:09 5:34
64 15:36    -     - 
55 14:35    -     - 
66 10:54 21:44 5:51
67 10:04 19:03 22:55
69 9:40 19:48 6:57
70 5:15 13:33 18:05
71 8:19 17:21 23:09
72 14:22    -     - 
74 18:55    -     - 
77 18:49    -     - 
78 15:03    -     - 
79 10:13 20:40 8:33
80 13:53 22:08    - 
81 2:45 8:33 11:43
82 2:45 8:33 11:43
84 15:36    -     - 
85 16:54    -     - 
87 2:52 12:17    - 
89 3:47 18:12    - 
91 5:18 15:10 21:41
92 5:18 15:10 21:41
93 7:08 14:09 17:53
94 8:41 16:26    - 
95 9:14    -     - 
97 7:35 14:52 19:37
99 18:45    -     - 
100 8:54 19:32    - 
101 10:51 19:28 6:59
102 9:19    -     - 
104 6:49 23:27    - 
107 14:22 5:12 8:30
108 18:26 4:25    - 
109 2:24 10:53 15:22
110 5:25 11:23 16:14
111 5:54 16:06    - 
112 16:07    -     - 
114 7:34 16:13    - 
115 6:25 15:28 22:16
116 9:42 19:32 8:05
117 8:06    -     - 
118 8:28    -     - 
119 8:11 17:43 6:30
120 6:29 16:03 22:22
121 11:05    -     - 
122 4:02 15:27    - 
123 8:03 15:10 20:36
124 11:36 0:56 8:34
125 5:14 13:51 19:45
127 18:32    -     - 
128 8:31    -     - 
130 11:47    -     - 
131 16:48 0:00 8:51
133    -  16:06    - 
134 16:49    -     - 
136 8:28    -     - 
137 9:09 16:43 22:46
138 7:58 20:38    - 
139 11:05    -     - 
141 14:41 23:28 9:07
142 12:40 21:48    - 
143 6:08 19:18 2:06
144 8:03 17:43 0:31
145 4:20 10:46 16:14
146 11:00 20:40    - 
148 4:28 17:47 0:35
149 12:52    -     - 
150 16:16 23:25    - 
151 13:29 23:25    - 
152 1:48 10:50 16:14
153 7:07 22:53 8:08
154 7:07 22:53 8:10
156 16:25    -     - 
157 16:25    -     - 
158 13:53 22:08    - 
160 9:34 20:43    - 
162 5:55 16:06    - 
163 4:58 13:21 20:15
164 10:05 19:49 2:51
165 3:59 11:57 18:14
167 2:34 10:14 16:18
168 19:07    -     - 
169 12:34 22:06 7:58
170    -     -  9:02
171 12:29 22:03 5:50
172 11:50    -     - 
173 12:00 21:56    - 
174 1:48    -  16:14
175 6:08 15:52 22:22
176 2:54 10:05 15:14
177 4:59 19:41 5:02
178 5:54 16:07    - 
179 10:48 20:40 7:02
181 11:31 20:33 6:39
182 11:31 20:33 6:39
183 8:06 21:20 7:46
185 3:43 12:12 17:57
186 7:58 15:25 21:04
188 5:26 12:29 17:51
189 2:18 8:42 12:05
190 13:20    -     - 
191 6:44 17:47    - 
192 18:21    -     - 
193 4:36 17:47 1:26
194 8:47 19:16 0:31
195 5:09 21:57    - 
196 9:39 18:55 0:50
197 13:20    -     - 
198 2:52 12:17    - 
199 9:39 18:55 23:21
201 4:12 13:54 20:49
204 3:00 10:49 15:30
205 15:03    -     - 
206 11:45 20:18    - 
207 5:53 12:46 17:38
209 8:41 16:26    - 
210 8:06 21:20 7:46
211 4:59 16:03 22:22
213 11:35 22:32    - 
214 6:38 17:21 22:35
215 3:37 10:35 16:07
220 18:07    -     - 
221 2:31    -     - 
222 13:53 22:08 7:02
223 2:25 11:56 18:14
225 6:18 15:12    - 
227 17:51    -     - 
228 4:21 10:36 14:36
