 1  9:42  14:22   -             
73  9:56  15:06   -             
15  8:58  14:07   -             
 9  7:27  13:23   -             
36  7:43  14:13   -             
27  7:30  14:02   -             
31  8:10  15:06   -             
18  8:48  18:18   -             
 7  8:02  13:36   14,16         
42  9:44  18:10   20            
50  9:14  17:14   -             
64  9:52  18:30   -             
62  8:32  17:35   -             
22  8:12  17:41   -             
49  9:58  19:59   20            
14  8:52  16:29   16,17         
24 10:00  17:29   14,16,17      
10  8:56  16:11   15,16,17,19,20
59  9:50  18:33   14,16,17      
58  9:48  18:33   14,16,17      
 4  8:28  18:08   16,17         
