430 b 14:46 1 -
547 b 14:56 2 -
55  b 15:27 2 -
456 b 15:32 1 -
390 b 15:32 1 -
389 b 15:39 1 -
163 b 15:41 1 -
19  b 16:12 1 -
281 b 16:43 1 -
87  b 16:43 1 -
99  b 16:41 1 -
348 b 16:43 1 -
106 b 16:46 2 -
567 b 16:49 1 -
377 b 16:56 1 -
451 b 16:56 1 -
181 b 16:58 2 -
349 b 16:59 1 -
57  b 17:21 1 -
220 b 17:21 1 -
439 b 17:26 1 -
317 b 17:26 1 -
9   b 17:26 1 -
96  b 17:28 1 -
275 b 17:29 1 -
117 b 17:29 1 -
354 b 17:30 1 -
357 b 17:30 1 -
160 b 17:32 1 5,8,9,11,12,13
316 b 17:34 1 -
7   b 17:36 1 -
233 b 17:39 1 -
33  b 17:41 1 -
162 b 17:41 1 -
155 b 17:41 1 -
35  b 17:43 2 -
280 b 17:52 2 -
520 b 17:53 1 -
172 b 18:06 1 -
483 b 18:08 2 -
189 b 18:25 1 -
182 b 18:26 1 -
545 b 18:27 1 -
51  b 18:28 2 -
136 b 18:28 1 -
309 b 18:45 1 -
147 b 18:46 1 -
234 b 18:47 2 -
313 b 18:47 1 -
140 b 18:49 2 -
101 b 18:50 2 -
66  b 18:51 1 -
195 b 18:51 5 -
413 b 18:53 1 -
138 b 18:53 1 -
30  b 19:03 1 -
585 b 19:16 1 -
603 b 19:21 2 -
546 b 19:22 2 -
566 b 19:22 2 -
190 b 19:24 2 -
34  b 19:25 1 13
14  b 19:26 1 13
301 b 19:34 3 -
552 b 19:35 3 -
137 b 19:37 1 -
198 b 19:37 2 -
180 b 19:38 1 -
139 b 19:43 1 -
322 b 19:43 1 -
588 b 19:47 1 -
247 b 19:53 2 -
89  b 19:54 2 13
473 b 19:55 2 9,13
41  b 20:00 1 13
391 b 20:06 1 13
367 b 20:06 1 -
410 b 20:10 1 -
5   b 20:10 1 -
204 b 20:11 2 -
241 b 20:12 1 -
239 b 20:12 1 -
11  b 20:19 2 -
68  b 20:21 1 -
107 b 20:22 1 -
259 b 20:22 1 -
118 b 20:24 1 -
1   b 20:31 3 -
325 b 20:36 1 -
475 b 20:41 1 -
409 b 20:43 3 -
25  b 20:47 1 13
72  b 20:50 1 13
509 b 20:51 1 13
507 b 20:51 1 13
308 b 20:53 2 -
188 b 20:55 2 -
141 b 20:56 1 -
395 b 20:56 1 -
42  b 20:57 1 -
244 b 20:58 1 -
375 b 20:59 2 -
388 b 21:00 4 -
114 b 21:02 2 -
100 b 21:02 1 -
8   b 21:03 1 -
10  b 21:03 1 -
21  b 21:03 1 -
262 b 21:06 3 -
168 b 21:06 1 -
154 b 21:06 1
125 b 21:09 1 -
22  b 21:11 2 -
516 b 21:11 1 -
382 b 21:11 2 -
191 b 21:29 2 -
214 b 21:31 1 -
76  b 21:31 1 -
62  b 21:38 2 13
522 b 21:42 1 13
249 b 21:55 1 13
75  b 21:55 1 13
79  b 21:55 1 13
80  b 21:55 2 13
157 b 22:04 1 9,11,12,13
236 b 22:04 1 9,11,12,13
332 b 22:04 1 9,11,12,13
94  b 22:04 1 9,11,12,13
343 b 22:10 2 -
112 b 22:20 2 13
300 b 22:23 1 -
415 b 22:30 2 5,7,8,9,13
479 b 22:38 1 -
493 b 22:38 1 -
213 b 22:38 1 -
39  b 22:38 1 -
90  b 22:38 1 -
50  b 22:38 2 -
397 b 22:48 1 2,3,4
175 b 22:51 2 -
450 b 22:56 1 13
606 b 22:56 4 13
406 b 22:58 2 7,8,9,13
372 b 22:58 1 5,13
369 b 22:58 2 9,11,12,13
448 b 23:19 1 -
169 b 23:24 2 -
433 b 20:26 1 13
187 b 20:37 5 13
431 b 20:41 3 -
171 b 00:13 1 13
250 b 00:15 1 13
536 b 00:19 1 13
 48 b 00:34 1 13
228 b 00:34 1 13
564 b 00:41 1 -
561 b 00:41 2 -
109 b 01:03 1 9,13
179 b 01:09 2 7,8,9,13
537 b 01:09 1 13
 36 b 01:09 1 13
 58 b 01:11 1 13
 13 b 01:12 1 -
407 b 01:29 2 2,3,4,5,6
196 b 01:32 1 -
  2 b 01:34 1 -
379 b 01:34 1 -
164 b 01:49 1 13
#378 b 01:55 1 -
533 b 02:08 2 13
145 b 02:45 4 13
528 b 03:08 3 13
575 b 03:34 3 11,12,13
525 b 03:50 1 13
529 b 03:54 1 13
378 b 03:54 1 13
193 b 04:15 1 -
579 b 04:15 1 -
177 b 09:33 1 7,8,9,13
178 b 09:33 1 7,8,9,13
417 b 10:35 3 -
345 b 10:45 2 -
268 b 11:21 1 13
318 b 11:22 1 9
457 b 11:47 1 -
386 b 11:54 2 -
630 b 13:10 2 8,9,13
337 b 13:10 1 8,9,13
295 b 13:34 2 -
105 a 13:23 1 -
 27 a 14:55 1 -
 16 a 14:55 1 -
454 a 14:55 1 -
392 a 14:57 1 -
495 a 14:57 1 - 
541 a 14:57 1 -
 17 a 15:03 1 -
506 a 15:09 1 -
 95 a 15:10 1 -
277 a 15:11 1 -
254 a 15:15 1 -
523 a 15:16 1 -
 92 a 15:20 1 -
110 a 15:21 1 -
590 a 15:22 1 -
230 a 15:24 1 -
 49 a 15:24 1 -
424 a 15:25 2 -
572 a 15:41 1 -
 53 a 15:42 2 -
144 a 15:46 2 -
227 a 15:59 2 -
327 a 16:02 2 -
548 a 16:05 3 -
120 a 16:15 1 - 
278 a 16:20 3 -
